,TIMESTAMP_START,TIMESTAMP_END,TA_F,VPD_F,SW_IN_F,LW_IN_F,SW_OUT,LW_OUT,WS_F,PA_F,LE_F_MDS,H_F_MDS,G_F_MDS,LE_CORR
0,201901010000,201901010030,5.344,4.546,0.0,253.905,-9999,-9999,0.603,97.53,2.19643,-24.4656,-31.6935,-9999
1,201901010030,201901010100,5.335,4.542,0.0,253.86,-9999,-9999,0.609,97.528,2.19643,-24.3427,-31.6864,-9999
2,201901010100,201901010130,1.176,4.536,0.0,243.675,-9999,-9999,0.614,97.526,2.19643,-24.6878,-31.6796,-9999
3,201901010130,201901010200,0.942,4.526,0.0,242.11,-9999,-9999,0.65,97.508,2.21792,-24.6828,-31.6744,-9999
4,201901010200,201901010230,0.573,4.517,0.0,241.18,-9999,-9999,0.687,97.49,2.21893,-24.649,-31.6709,-9999
5,201901010230,201901010300,0.205,4.508,0.0,239.74,-9999,-9999,0.714,97.482,2.21893,-24.649,-31.6693,-9999
6,201901010300,201901010330,-0.045,4.502,0.0,239.69,-9999,-9999,0.741,97.475,2.14772,-24.5412,-31.6716,-9999
7,201901010330,201901010400,-0.295,4.493,0.0,239.027,-9999,-9999,0.754,97.469,2.11283,-24.4478,-31.6796,-9999
8,201901010400,201901010430,-0.382,4.485,0.0,238.831,-9999,-9999,0.767,97.463,2.11283,-24.3116,-31.7005,-9999
9,201901010430,201901010500,-0.47,4.475,0.0,238.935,-9999,-9999,0.79,97.46,2.11283,-24.3116,-31.7501,-9999
10,201901010500,201901010530,1.395,2.399,0.0,238.754,1.44261,302.875,0.813,97.457,1.25435,-20.4286,-37.8132,-9999
11,201901010530,201901010600,1.252,2.376,0.0,238.775,1.0474,302.504,0.835,97.454,1.33538,-20.0446,-38.6661,-9999
12,201901010600,201901010630,1.281,2.465,0.0,238.267,1.24808,300.487,0.858,97.451,1.3182,-21.222,-39.7576,-9999
13,201901010630,201901010700,0.931,2.306,0.0,237.743,1.15316,300.48,0.883,97.434,1.08276,-17.8041,-42.5568,-9999
14,201901010700,201901010730,1.061,2.396,0.0,238.202,1.52588,299.538,0.907,97.418,1.19708,-19.2195,-47.2346,-9999
15,201901010730,201901010800,0.968,2.38,0.0,237.618,1.6615,300.703,0.914,97.436,1.23081,-19.3319,-49.0864,-9999
16,201901010800,201901010830,0.168,2.106,0.788,236.751,0.822068,298.373,0.921,97.454,0.904855,-16.2393,-49.8775,-9999
17,201901010830,201901010900,-1.329,1.442,12.357,235.451,2.3344,297.325,0.948,97.474,0.570423,-19.1257,-50.176,-9999
18,201901010900,201901010930,0.534,2.092,100.997,238.553,6.4317,301.054,0.976,97.494,2.29675,-16.0904,-48.3136,-9999
