SITE_ID;IGBP;LOCATION_LAT;LOCATION_LONG;LOCATION_ELEV;UTC_OFFSET
AT-Inn;URB;47.264095;11.385816;574.0;1.0
AT-Mmg;ENF;47.316563;10.970089;960.0;1.0
AT-Neu;GRA;47.116318;11.320229;970.0;1.0
AT-PsM;WET;47.58145;14.347197;631.0;1.0
AT-Rtz;GRA;47.394722;11.804722;523.0;1.0
AT-VnA;URB;48.18184;16.39085;;1.0
AT-Zoe;MF;47.842247;14.444137;956.0;1.0
BE-Bra;ENF;51.30761;4.51984;16.0;1.0
BE-Dor;GRA;50.311874;4.968113;253.0;1.0
BE-Jal;MF;50.56389;6.0733333;486.0;1.0
BE-Lcr;DBF;51.11218;3.85043;6.25;1.0
BE-Lon;CRO;50.55162;4.746234;170.0;1.0
BE-Maa;CSH;50.97987;5.631851;85.0;1.0
BE-Vie;MF;50.304962;5.998099;490.0;1.0
BE-Wm1;;51.296432;4.6572485;;1.0
BE-Wm2;;51.29747;4.6624384;;1.0
BJ-Bfg;DBF;9.791;1.718;445.0;1.0
BJ-Db1;CRO;6.607338;2.543043;54.0;1.0
BJ-Nhu;SAV;9.74;1.6;449.0;1.0
BW-Gum;WET;-18.964722;22.37111;983.0;2.0
BW-Nxr;GRA;-19.548056;23.179167;952.0;2.0
CD-Ygb;MF;0.814444;24.502472;466.0;2.0
CH-Aws;GRA;46.58311;9.790639;1978.0;1.0
CH-BaA;URB;47.55123;7.5956;270.0;1.0
CH-BaK;URB;47.56173;7.58049;273.0;1.0
CH-Cha;GRA;47.21022;8.410444;393.0;1.0
CH-Crs;GRA;47.0436;7.0475;429.0;1.0
CH-Dav;ENF;46.81533;9.85591;1637.0;1.0
CH-Frk;GRA;46.57775;8.421466;2440.0;1.0
CH-Fru;GRA;47.115833;8.537778;982.0;1.0
CH-Lae;MF;47.478333;8.364389;682.0;1.0
CH-Oe1;GRA;47.1712;7.436;450.0;1.0
CH-Oe2;CRO;47.286415;7.73375;452.0;1.0
CH-Oe3;GRA;47.1712;7.436;450.0;1.0
CH-Rh1;GRA;47.3;9.5;427.0;1.0
CH-Rh2;GRA;47.3;9.5;427.0;1.0
CH-Rtb;GRA;47.3804;8.9934;755.0;1.0
CN-Ha2;OSH;37.6086;101.3269;;8.0
CN-HaM;GRA;37.607433;101.332;3250.0;8.0
CN-Lsh;DNF;45.27984;127.57821;340.0;8.0
CR-AqC;EBF;9.938369;-83.7289;1040.0;-6.0
CZ-BK1;ENF;49.502075;18.536882;881.0;1.0
CZ-BK2;GRA;49.49443;18.54285;855.0;1.0
CZ-KrP;CRO;49.573257;15.078773;545.0;1.0
CZ-LnG;GRA;48.704224;16.926247;155.0;1.0
CZ-Lnz;DBF;48.68155;16.946331;182.0;1.0
CZ-RAJ;ENF;49.44372;16.696512;625.0;1.0
CZ-Stn;DBF;49.035976;17.9699;540.0;1.0
CZ-wet;WET;49.02465;14.77035;426.0;1.0
DE-Akm;WET;53.86617;13.68342;1.0;1.0
DE-Amv;WET;52.1757;6.95537;35.0;1.0
DE-BeC;URB;52.512283;13.327855;34.0;1.0
DE-BeR;URB;52.457233;13.315827;57.0;1.0
DE-Brs;CRO;52.29663;10.44871;78.0;1.0
DE-Dgw;WAT;53.15141;13.054275;60.0;1.0
DE-Etn;DBF;48.268486;7.878243;521.0;1.0
DE-Fen;GRA;47.832905;11.060701;595.0;1.0
DE-Geb;CRO;51.09973;10.91463;163.0;1.0
DE-Gri;GRA;50.950005;13.512533;385.0;1.0
DE-GsB;GRA;52.029648;11.10478;78.0;1.0
DE-Gwg;GRA;47.570835;11.032604;864.0;1.0
DE-Hai;DBF;51.079212;10.452168;438.7;1.0
DE-Har;ENF;47.93391;7.59814;201.0;0.0
DE-Hdn;CRO;53.86825;13.268543;;1.0
DE-HoH;DBF;52.08656;11.22235;217.0;1.0
DE-Hte;WET;54.210278;12.176111;0.2;1.0
DE-Hzd;DBF;50.96381;13.48978;395.0;1.0
DE-Kie;;52.97343;13.64393;;
DE-Kli;CRO;50.893044;13.5223;478.0;1.0
DE-Lkb;ENF;49.099617;13.3046665;1308.0;1.0
DE-Me2;GRA;51.275368;10.65555;318.0;1.0
DE-Meh;MF;51.275307;10.655472;293.0;1.0
DE-Msr;ENF;47.80918;11.456168;602.07;1.0
DE-Obe;ENF;50.7864;13.72168;734.0;1.0
DE-Okd;GRA;53.4126;9.09247;9.0;1.0
DE-Rns;CRO;51.494953;9.932118;150.0;1.0
DE-RuC;OSH;50.5031;6.336;610.0;1.0
DE-RuR;GRA;50.621914;6.304126;514.7;1.0
DE-RuS;CRO;50.865906;6.4471445;106.0;1.0
DE-RuW;ENF;50.50493;6.3309627;610.0;1.0
DE-SbM;WET;51.764927;10.51799;777.0;1.0
DE-Seh;CRO;50.870625;6.449653;103.0;1.0
DE-SfN;;47.80639;11.3275;590.0;1.0
DE-SfS;WET;47.80629;11.32757;;1.0
DE-Spw;WET;51.89225;14.03369;61.0;1.0
DE-Tha;ENF;50.962597;13.565333;380.0;1.0
DE-Wet;ENF;50.4535;11.457533;785.0;1.0
DE-Zrk;WET;53.875942;12.88901;0.0;1.0
DK-Eng;GRA;55.69053;12.19175;10.0;1.0
DK-Fou;CRO;56.4842;9.58722;51.0;1.0
DK-Gds;ENF;56.0737;9.3341;86.0;1.0
DK-Lva;GRA;55.6833;12.0833;15.0;1.0
DK-RCW;DBF;55.680683;12.101398;40.0;1.0
DK-Ris;CRO;55.530277;12.097222;10.0;1.0
DK-Skj;WET;55.91273;8.40481;2.0;1.0
DK-Sor;DBF;55.48587;11.644645;55.0;1.0
DK-Vng;CRO;56.037476;9.160709;67.7;1.0
EE-Pts;WET;58.562298;24.369932;13.0;2.0
EE-Rng;WET;57.913143;26.694048;119.5;2.0
EE-Stg;ENF;58.023636;26.070753;54.0;2.0
ES-Abr;SAV;38.70184;-6.785881;279.0;1.0
ES-Agu;OSH;36.939384;-2.034044;199.0;1.0
ES-Amo;OSH;36.833405;-2.2522173;58.0;1.0
ES-CPa;OSH;39.22417;-0.90305;808.0;1.0
ES-Cnd;WSA;37.914997;-3.227659;370.0;1.0
ES-Crg;CSH;39.11926;-0.95852;1040.0;1.0
ES-ES1;ENF;39.34481;-0.31999;10.0;1.0
ES-ES2;CRO;39.27438;-0.31641;1.0;1.0
ES-Gdn;EBF;37.910915;-3.228444;370.0;
ES-Gdn;SAV;37.91084;-3.228489;380.0;1.0
ES-Hen;ENF;38.411087;-1.697534;425.0;1.0
ES-LJu;OSH;36.926594;-2.752115;1600.0;1.0
ES-LM1;SAV;39.94269;-5.778683;265.0;1.0
ES-LM2;SAV;39.934593;-5.775881;265.0;1.0
ES-LMa;SAV;39.94033;-5.77465;265.0;1.0
ES-LgS;OSH;37.097935;-2.965833;2267.0;1.0
ES-Ln1;OSH;36.9721;-3.473851;2301.0;1.0
ES-Ln2;OSH;36.9695;-3.475819;2249.0;1.0
ES-Mcd;EBF;39.58819;-0.39969;61.0;
ES-Mzn;EBF;40.089497;-0.827409;1118.0;
ES-Pdu;WET;37.016975;-3.609228;725.0;1.0
ES-Pzb;GRA;38.362118;-4.767329;680.0;1.0
ES-Srn;EBF;40.15;-0.838;1002.0;
ES-TzM;CRO;39.265556;-1.939722;727.0;1.0
ES-VDA;GRA;42.15111;1.44738;1767.0;1.0
ES-Yst;ENF;38.3351;-2.3571;929.0;1.0
FI-Alk;ENF;62.18337;22.784233;157.0;2.0
FI-Ant;CRO;63.16347;27.234991;87.0;2.0
FI-Hyy;ENF;61.84741;24.29477;181.0;2.0
FI-Jok;CRO;60.8986;23.51345;109.0;2.0
FI-Ken;ENF;67.98721;24.24301;347.0;2.0
FI-Kmp;URB;60.20289;24.9611;26.0;2.0
FI-Kns;ENF;60.64683;24.356167;123.0;2.0
FI-Kvr;WAT;61.84662;24.2804;141.0;2.0
FI-Let;ENF;60.64183;23.95952;125.0;2.0
FI-Lom;WET;67.99724;24.209179;247.0;2.0
FI-Nsv;CVM;62.8639;24.08382;179.0;2.0
FI-Ouk;;66.37752;29.30768;;
FI-Pap;CRO;63.13806;27.246117;90.0;2.0
FI-Qvd;CRO;60.295242;22.391607;5.0;2.0
