;fid;date;values;trend
0;1.0;2015-10-01;;
1;1.0;2015-11-01;;
2;1.0;2015-12-01;;
3;1.0;2016-01-01;;
4;1.0;2016-02-01;;
5;1.0;2016-03-01;;
6;1.0;2016-04-01;;
7;1.0;2016-05-01;;
8;1.0;2016-06-01;;
9;1.0;2016-07-01;;
10;1.0;2016-08-01;;
11;1.0;2016-09-01;;
12;1.0;2016-10-01;;
13;1.0;2016-11-01;;
14;1.0;2016-12-01;;
15;1.0;2017-01-01;;
16;1.0;2017-02-01;;
17;1.0;2017-03-01;;
18;1.0;2017-04-01;;
19;1.0;2017-05-01;;
20;1.0;2017-06-01;;
21;1.0;2017-07-01;;
22;1.0;2017-08-01;;
23;1.0;2017-09-01;;
24;1.0;2017-10-01;;
25;1.0;2017-11-01;;
26;1.0;2017-12-01;;
27;1.0;2018-01-01;;
28;1.0;2018-02-01;;
29;1.0;2018-03-01;;
30;1.0;2018-04-01;;
31;1.0;2018-05-01;;
32;1.0;2018-06-01;;
33;1.0;2018-07-01;;
34;1.0;2018-08-01;;
35;1.0;2018-09-01;;
36;1.0;2018-10-01;;
37;1.0;2018-11-01;;
38;1.0;2018-12-01;;
39;1.0;2019-01-01;;
40;1.0;2019-02-01;;
41;1.0;2019-03-01;;
42;1.0;2019-04-01;;
43;1.0;2019-05-01;;
44;1.0;2019-06-01;;
45;1.0;2019-07-01;;
46;1.0;2019-08-01;;
47;1.0;2019-09-01;;
48;1.0;2019-10-01;;
49;1.0;2019-11-01;;
50;1.0;2019-12-01;;
51;1.0;2020-01-01;;
52;1.0;2020-02-01;;
53;1.0;2020-03-01;;
54;1.0;2020-04-01;;
55;1.0;2020-05-01;;
56;1.0;2020-06-01;;
57;1.0;2020-07-01;;
58;1.0;2020-08-01;;
59;1.0;2020-09-01;;
60;1.0;2020-10-01;;
61;1.0;2020-11-01;;
62;1.0;2020-12-01;;
63;1.0;2021-01-01;;
64;1.0;2021-02-01;;
65;1.0;2021-03-01;;
66;1.0;2021-04-01;;
67;1.0;2021-05-01;;
68;1.0;2021-06-01;;
69;1.0;2021-07-01;;
70;1.0;2021-08-01;;
71;1.0;2021-09-01;;
72;1.0;2021-10-01;;
73;1.0;2021-11-01;;
74;1.0;2021-12-01;;
75;1.0;2022-01-01;;
76;1.0;2022-02-01;;
77;1.0;2022-03-01;;
78;1.0;2022-04-01;;
79;1.0;2022-05-01;;
80;1.0;2022-06-01;;
81;1.0;2022-07-01;;
82;1.0;2022-08-01;;
83;1.0;2022-09-01;;
84;1.0;2022-10-01;;
85;1.0;2022-11-01;;
86;1.0;2022-12-01;;
87;1.0;2023-01-01;;
88;1.0;2023-02-01;;
89;1.0;2023-03-01;;
90;1.0;2023-04-01;;
91;1.0;2023-05-01;;
92;1.0;2023-06-01;;
