;fid;date;values;trend
0;10.0;2015-10-01;0.4629439526796341;0.6808455473785904
1;10.0;2015-10-02;0.4629439526796341;0.6809505868838546
2;10.0;2015-10-03;0.4629439526796341;0.6810558488055525
3;10.0;2015-10-04;0.4629439526796341;0.6811613321519441
4;10.0;2015-10-05;0.4629439526796341;0.6812670359818117
5;10.0;2015-10-06;0.4629439526796341;0.6813729593857812
6;10.0;2015-10-07;0.4629439526796341;0.681479101501889
7;10.0;2015-10-08;0.4629439526796341;0.681585461541236
8;10.0;2015-10-09;0.4629439526796341;0.6816920388042849
9;10.0;2015-10-10;0.4629439526796341;0.6817988326572972
10;10.0;2015-10-11;0.4629439526796341;0.6819058425088588
11;10.0;2015-10-12;0.4629439526796341;0.6820130678293693
12;10.0;2015-10-13;0.4629439526796341;0.6821205081819307
13;10.0;2015-10-14;0.4629439526796341;0.6822281632493515
14;10.0;2015-10-15;0.4629439526796341;0.682336032843065
15;10.0;2015-10-16;0.4629439526796341;0.682444116907385
16;10.0;2015-10-17;0.4629439526796341;0.6825524155231311
17;10.0;2015-10-18;0.4629439526796341;0.6826609289111932
18;10.0;2015-10-19;0.4629439526796341;0.6827696574329485
19;10.0;2015-10-20;0.4629439526796341;0.682878601577757
20;10.0;2015-10-21;0.4629439526796341;0.682987761951186
21;10.0;2015-10-22;0.4629439526796341;0.6830971392802248
22;10.0;2015-10-23;0.4629439526796341;0.6832067344230045
23;10.0;2015-10-24;0.4629439526796341;0.6833165483838716
24;10.0;2015-10-25;0.4629439526796341;0.6834265823496485
25;10.0;2015-10-26;0.4629439526796341;0.6835368377301919
26;10.0;2015-10-27;0.4629439526796341;0.6836473161927368
27;10.0;2015-10-28;0.4629439526796341;0.6837580196952652
28;10.0;2015-10-29;0.4629439526796341;0.6838689505211073
29;10.0;2015-10-30;0.4629439526796341;0.6839801113157742
30;10.0;2015-10-31;0.4629439526796341;0.6840915051164794
31;10.0;2015-11-01;0.4629439526796341;0.6842031353479232
32;10.0;2015-11-02;0.4629439526796341;0.6843150058092132
33;10.0;2015-11-03;0.4629439526796341;0.6844271206623318
34;10.0;2015-11-04;0.4629439526796341;0.6845394844279797
35;10.0;2015-11-05;0.4629439526796341;0.6846521019718118
36;10.0;2015-11-06;0.4629439526796341;0.6847649784443718
37;10.0;2015-11-07;0.4629439526796341;0.6848781192078224
38;10.0;2015-11-08;0.4629439526796341;0.6849915297769041
39;10.0;2015-11-09;0.4629439526796341;0.6851052158238355
40;10.0;2015-11-10;0.4629439526796341;0.6852191832016692
41;10.0;2015-11-11;0.4629439526796341;0.6853334379758047
42;10.0;2015-11-12;0.4629439526796341;0.6854479864582663
43;10.0;2015-11-13;0.4629439526796341;0.6855628352329637
44;10.0;2015-11-14;0.5782522935420275;0.685677991141703
45;10.0;2015-11-15;0.6935606344044208;0.685793461248147
46;10.0;2015-11-16;0.8088689752668142;0.6859092527541054
47;10.0;2015-11-17;0.794700480632484;0.6860253729017205
48;10.0;2015-11-18;0.7805319859981537;0.6861418288906616
49;10.0;2015-11-19;0.7663634913638234;0.6862586278645687
50;10.0;2015-11-20;0.7521949967294931;0.6863757769272111
51;10.0;2015-11-21;0.7380265020951629;0.6864932832076275
52;10.0;2015-11-22;0.7238580074608326;0.6866111539393284
53;10.0;2015-11-23;0.7096895128265023;0.6867293965207132
54;10.0;2015-11-24;0.695521018192172;0.6868480184924267
55;10.0;2015-11-25;0.6813525235578417;0.6869670274975122
56;10.0;2015-11-26;0.6671840289235115;0.6870864312594732
57;10.0;2015-11-27;0.6342673544798578;0.687206237564513
58;10.0;2015-11-28;0.6013506800362042;0.6873264542518045
59;10.0;2015-11-29;0.5684340055925505;0.6874470892381097
60;10.0;2015-11-30;0.5355173311488969;0.6875681505525878
61;10.0;2015-12-01;0.5026006567052432;0.6876896463757424
62;10.0;2015-12-02;0.4696839822615895;0.68781158508033
63;10.0;2015-12-03;0.4367673078179359;0.6879339752724827
64;10.0;2015-12-04;0.43570509573258454;0.6880568258302603
65;10.0;2015-12-05;0.4346428836472332;0.6881801459354399
66;10.0;2015-12-06;0.43358067156188185;0.6883039450784185
